,area,codice_NUTS1,codice_NUTS2,codice_regione_ISTAT,denominazione_struttura,lat,lng,nome_area,tipologia
0,ABR,ITF,ITF1,13,AVEZZANO-SULMONA-L'AQUILA,42.0512567,13.9343122,Abruzzo,Ospedaliero
1,ABR,ITF,ITF1,13,CASA DI CURA VILLA SERENA,42.5213536,14.0979546,Abruzzo,Ospedaliero
2,ABR,ITF,ITF1,13,CDC S.CAMILLA-C.RIA.VILLA PINI,42.379116,14.1898173,Abruzzo,Territoriale
3,ABR,ITF,ITF1,13,CENTRO RIABILITAZIONE  SANEX,42.7121427,13.6577879,Abruzzo,Territoriale
4,ABR,ITF,ITF1,13,CONS. S.STEFANO S.EGIDIO,42.823682,13.716292,Abruzzo,Territoriale
5,ABR,ITF,ITF1,13,DSB CHIETI CENTRO,42.3504915,14.1642059,Abruzzo,Territoriale
6,ABR,ITF,ITF1,13,DSB LANCIANO,42.2244264,14.3920872,Abruzzo,Territoriale
7,ABR,ITF,ITF1,13,FOND. P. A. MILENO - LANCIANO IL GABBIANO,42.2422294,14.39621,Abruzzo,Territoriale
8,ABR,ITF,ITF1,13,HOSPICE TORREVECCHIA TEATINA,42.379907,14.2114585,Abruzzo,Territoriale
9,ABR,ITF,ITF1,13,LANCIANO-VASTO-CHIETI,42.11326649999999,14.7034917,Abruzzo,Ospedaliero
10,ABR,ITF,ITF1,13,"LIDO SRL - R.P. ""T. BERARDI"" ORTONA",42.3450711,14.4016974,Abruzzo,Territoriale
11,ABR,ITF,ITF1,13,"LIDO SRL - R.P. DISABILI ""IL CASTELLO"" CRECCHIO",42.2924006,14.3249954,Abruzzo,Territoriale
12,ABR,ITF,ITF1,13,OSPEDALE MARIA S.S. DELLO SPLENDORE,42.7458216,13.9629905,Abruzzo,Ospedaliero
13,ABR,ITF,ITF1,13,OSPEDALE MAZZINI,42.6660957,13.714887,Abruzzo,Ospedaliero
14,ABR,ITF,ITF1,13,OSPEDALE SAN LIBERATORE   DI ATRI  (TE),42.5781663,13.9870971,Abruzzo,Ospedaliero
15,ABR,ITF,ITF1,13,P.O. 'SPIRITO SANTO' PESCARA,42.465136,14.2092505,Abruzzo,Ospedaliero
16,ABR,ITF,ITF1,13,P.O. ATESSA 'SAN CAMILLO DE LELLIS',42.0730355,14.4475058,Abruzzo,Ospedaliero
17,ABR,ITF,ITF1,13,P.O. CLINICIZZ. 'SS. ANNUNZIATA' CHIETI,42.36571379999999,14.1526676,Abruzzo,Ospedaliero
18,ABR,ITF,ITF1,13,P.O. LANCIANO 'RENZETTI',42.22994389999999,14.3970068,Abruzzo,Ospedaliero
19,ABR,ITF,ITF1,13,P.O. ORTONA 'G. BERNABEO',42.3510952,14.3893809,Abruzzo,Ospedaliero
20,ABR,ITF,ITF1,13,P.O. S. MASSIMO DI PENNE,42.4588025,13.9204999,Abruzzo,Ospedaliero
21,ABR,ITF,ITF1,13,P.O. VASTO 'S. PIO DA PIETRALCINA',42.1182804,14.7101902,Abruzzo,Ospedaliero
22,ABR,ITF,ITF1,13,P.O.'S.S. TRINITA'' POPOLI,42.1762413,13.8272279,Abruzzo,Ospedaliero
23,ABR,ITF,ITF1,13,P.O.-VAL VIBRATA SANT'OMERO,42.785078,13.8054287,Abruzzo,Ospedaliero
24,ABR,ITF,ITF1,13,P.O.SAN SALVATORE L'AQUILA,42.3681367,13.3531644,Abruzzo,Ospedaliero
25,ABR,ITF,ITF1,13,P.T.A. CASOLI,42.1181232,14.2953781,Abruzzo,Territoriale
26,ABR,ITF,ITF1,13,PAOLO VI  MADONNA DEL MONTE,42.2324028,13.9606027,Abruzzo,Territoriale
27,ABR,ITF,ITF1,13,PAOLO VI SAN CLEMENTE,42.2335618,13.9296529,Abruzzo,Territoriale
28,ABR,ITF,ITF1,13,PESCARA,42.4617902,14.2160898,Abruzzo,Ospedaliero
29,ABR,ITF,ITF1,13,PO AVEZZANO 'S. FILIPPO E NICOLA',42.0532466,13.427564,Abruzzo,Ospedaliero
30,ABR,ITF,ITF1,13,PO SULMONA ' DELL' ANNUNZIATA',42.0491448,13.9232831,Abruzzo,Ospedaliero
